car,price,body,mileage,engV,engType,registration,year,model,drive
Mercedes-Benz,70999.0,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
BMW,63500.0,crossover,1,2.0,Diesel,yes,2016,X5,full
BMW,59900.0,crossover,30,2.0,Diesel,yes,2016,X5,full
Mitsubishi,9200.0,crossover,110,2.4,Petrol,yes,2006,Outlander,full
Nissan,20241.897,crossover,0,1.6,Petrol,yes,2015,Juke,front
Mercedes-Benz,14490.0,vagon,212,2.2,Diesel,yes,2008,E-Class,rear
Mercedes-Benz,31500.0,sedan,123,2.2,Diesel,yes,2011,E-Class,
Mercedes-Benz,0.0,crossover,0,3.0,Diesel,yes,2016,GLE-Class,full
Volkswagen,8999.0,sedan,120,1.9,Diesel,yes,2007,Passat B6,front
Audi,3650.0,sedan,240,2.5,Diesel,no,2000,A6,front
Nissan,17000.0,hatch,38,,Other,yes,2013,Leaf,front
Mitsubishi,12000.0,sedan,121,2.4,Gas,yes,2009,Galant,front
Kia,20633.886,crossover,0,1.7,Diesel,yes,2016,Sportage,front
Porsche,55000.0,crossover,105,3.0,Diesel,yes,2012,Cayenne,full
Kia,18000.0,crossover,64,2.0,Diesel,yes,2011,Sportage,full
Kia,21700.0,crossover,58,2.0,Diesel,yes,2012,Sportage,full
Volkswagen,2400.0,vagon,320,1.9,Diesel,no,2000,Passat B5,front
Volkswagen,2350.0,sedan,300,1.9,Diesel,no,1998,Passat B5,front
Honda,18600.0,vagon,98,2.4,Gas,yes,2011,Accord,front
Mercedes-Benz,104999.0,crossover,1,3.0,Diesel,yes,2016,GLE-Class,full
Toyota,195000.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Porsche,49900.0,crossover,73,3.0,Diesel,yes,2011,Cayenne,full
Porsche,50900.0,crossover,53,3.6,Petrol,yes,2013,Cayenne,full
Porsche,99999.0,crossover,1,2.99,Diesel,yes,2016,Cayenne,full
Mercedes-Benz,0.0,crossover,0,3.0,Diesel,yes,2016,GLE-Class,full
Toyota,0.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Toyota,102999.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Audi,35900.0,crossover,143,3.0,Diesel,yes,2010,Q7,full
Honda,16500.0,sedan,147,2.4,Petrol,yes,2009,Accord,front
Toyota,103999.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Porsche,114900.0,crossover,25,4.8,Petrol,yes,2013,Cayenne,full
Porsche,26500.0,crossover,160,4.8,Petrol,yes,2008,Cayenne,full
Mitsubishi,12999.0,crossover,140,2.4,Gas,yes,2007,Outlander XL,full
Honda,30000.0,sedan,52,3.5,Gas,yes,2014,Accord,front
Porsche,26900.0,crossover,135,4.8,Petrol,yes,2008,Cayenne,full
Toyota,80000.0,crossover,23,4.5,Diesel,yes,2014,Land Cruiser 200,full
BMW,8500.0,sedan,260,2.2,Gas,yes,2001,520,rear
Mercedes-Benz,7000.0,van,197,2.2,Diesel,yes,2002,Vito ïàññ.,front
Audi,36000.0,crossover,145,3.0,Petrol,yes,2010,Q7,full
Mercedes-Benz,9500.0,van,280,2.2,Diesel,yes,2005,Vito ïàññ.,rear
Toyota,103999.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Toyota,100000.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Mercedes-Benz,16500.0,other,107,2.2,Diesel,yes,2010,Vito ïàññ.,front
Toyota,15500.0,sedan,120,3.5,Petrol,yes,2008,Camry,front
Porsche,0.0,sedan,22,4.8,Petrol,yes,2014,Panamera,full
Mercedes-Benz,10999.0,van,191,2.2,Diesel,yes,2007,Vito ïàññ.,rear
Audi,0.0,crossover,0,3.0,Diesel,yes,2015,Q7,full
Audi,88888.0,crossover,0,3.0,Diesel,yes,2015,Q7,full
Toyota,0.0,crossover,49,4.5,Diesel,yes,2014,Land Cruiser 200,full
Mercedes-Benz,16500.0,van,223,2.2,Diesel,yes,2009,Vito ïàññ.,rear
Volkswagen,17900.0,crossover,145,3.0,Diesel,yes,2007,Touareg,full
Volkswagen,0.0,van,165,2.0,Diesel,yes,2013,T5 (Transporter) ãðóç,front
Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,E-Class,rear
Volkswagen,20000.0,crossover,115,2.5,Diesel,yes,2008,Touareg,full
BMW,21000.0,sedan,186,3.0,Petrol,yes,2007,530,rear
Hyundai,11800.0,sedan,65,1.4,Petrol,yes,2013,Accent,front
Mercedes-Benz,0.0,van,450,2.2,Diesel,yes,2000,Vito ïàññ.,front
Volkswagen,10000.0,van,231,1.9,Diesel,yes,2005,T5 (Transporter) ïàññ.,
Volkswagen,37990.0,crossover,140,3.0,Diesel,yes,2012,Touareg,full
Porsche,0.0,crossover,0,3.0,Diesel,yes,2016,Cayenne,full
BMW,3900.0,vagon,240,3.0,Diesel,no,2001,530,rear
Volkswagen,33500.0,crossover,98,,Petrol,yes,2013,Touareg,full
Hyundai,9700.0,sedan,54,1.4,Petrol,yes,2013,Accent,front
Nissan,12400.0,hatch,26,,Other,yes,2011,Leaf,
Mercedes-Benz,6200.0,sedan,221,1.8,Gas,yes,2004,E-Class,rear
Renault,10500.0,vagon,185,1.5,Diesel,yes,2011,Megane,front
Hyundai,6900.0,crossover,105,1.6,Petrol,yes,2009,Accent,front
Mercedes-Benz,20300.0,sedan,198,1.8,Gas,yes,2011,E-Class,rear
Audi,18500.0,crossover,185,3.6,Petrol,yes,2008,Q7,full
Toyota,73900.0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
Toyota,30500.0,crossover,40,2.7,Petrol,yes,2011,Land Cruiser Prado,full
Toyota,30800.0,crossover,56,2.7,Gas,yes,2011,Land Cruiser Prado,full
Toyota,25500.0,crossover,200,4.0,Petrol,yes,2007,Land Cruiser Prado,full
Mercedes-Benz,29500.0,sedan,37,1.8,Petrol,yes,2012,E-Class,
Opel,3550.0,vagon,231,2.0,Diesel,no,2005,Vectra C,front
Volkswagen,0.0,van,162,2.0,Diesel,yes,2011,T5 (Transporter) ãðóç,front
Toyota,99999.0,crossover,0,4.5,Petrol,yes,2016,Land Cruiser 200,full
Mercedes-Benz,107999.0,crossover,0,2.98,Diesel,yes,2016,GLS 350,full
BMW,0.0,crossover,1,3.0,Diesel,yes,2014,X6,full
BMW,0.0,crossover,0,3.0,Diesel,yes,2015,X6,full
Toyota,74999.0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
Audi,34000.0,crossover,118,2.0,Diesel,yes,2013,Q5,full
BMW,2850.0,sedan,214,1.9,Petrol,no,2000,318,rear
Volkswagen,3250.0,sedan,255,1.9,Diesel,no,2003,Passat B5,front
Volkswagen,16900.0,crossover,133,2.5,Diesel,yes,2007,Touareg,full
Toyota,99999.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Chevrolet,6800.0,sedan,106,1.6,Petrol,yes,2007,Lacetti,front
Toyota,23400.0,crossover,120,4.0,Petrol,yes,2007,Land Cruiser Prado,full
Skoda,17900.0,sedan,65,1.8,Petrol,yes,2013,Superb,front
Toyota,37700.0,crossover,62,3.0,Diesel,yes,2013,Land Cruiser Prado,full
Land Rover,29500.0,crossover,50,3.5,Diesel,yes,2008,Range Rover Sport,full
Mercedes-Benz,93555.0,crossover,0,,Other,yes,2016,GLS 350,
Volkswagen,30000.0,sedan,67,2.0,Diesel,yes,2013,Passat B7,front
Mitsubishi,7999.0,sedan,112,2.0,Petrol,yes,2008,Lancer X,front
Land Rover,43500.0,crossover,54,5.0,Petrol,yes,2012,Range Rover Sport,full
Mercedes-Benz,107777.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
Mitsubishi,8400.0,sedan,91,1.5,Petrol,yes,2009,Lancer X,front
Land Rover,40000.0,vagon,52,2.2,Diesel,yes,2013,Range Rover Evoque,full
Mercedes-Benz,109999.0,crossover,0,2.98,Diesel,yes,2016,GLS 350,full
Opel,2780.0,sedan,254,2.2,Diesel,yes,2003,Vectra C,front
Mercedes-Benz,43500.0,other,51,3.0,Diesel,yes,2014,E-Class,rear
Volkswagen,18700.0,other,145,2.0,Diesel,yes,2011,T5 (Transporter) ãðóç,front
Chevrolet,7800.0,sedan,85,1.6,Gas,yes,2012,Lacetti,front
BMW,6350.0,crossover,156,4.4,Gas,no,2002,X5,full
Daewoo,3500.0,sedan,112,,Petrol,yes,2007,Lanos,front
BMW,25500.0,other,163,4.8,Petrol,yes,2008,X5,full
Land Rover,53500.0,crossover,69,3.5,Diesel,yes,2012,Range Rover Sport,full
Nissan,15999.0,crossover,59,2.0,Petrol,yes,2011,Qashqai,full
Nissan,17700.0,crossover,40,1.6,Petrol,yes,2014,Qashqai,
Volkswagen,14499.0,van,164,2.0,Diesel,yes,2013,T5 (Transporter) ãðóç,front
Daewoo,4300.0,sedan,70,1.5,Petrol,yes,2007,Lanos,front
Mitsubishi,18999.0,crossover,173,3.8,Gas,yes,2008,Pajero Wagon,full
Land Rover,0.0,crossover,45,3.0,Petrol,yes,2014,Range Rover Sport,full
Mercedes-Benz,71999.0,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,0.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
Mitsubishi,18500.0,crossover,135,3.0,Gas,yes,2009,Pajero Wagon,full
Volkswagen,18900.0,other,45,2.0,Diesel,yes,2013,Passat B7,front
Mercedes-Benz,17900.0,van,167,2.2,Diesel,yes,2012,Vito ãðóç.,
BMW,67500.0,crossover,1,2.0,Diesel,yes,2016,X5,full
BMW,67500.0,crossover,1,2.5,Diesel,yes,2016,X5,full
Land Rover,28999.0,crossover,139,3.6,Diesel,yes,2008,Range Rover Sport,full
Land Rover,49999.0,crossover,43,5.0,Petrol,yes,2012,Range Rover Sport,full
Toyota,14700.0,sedan,139,3.5,Petrol,yes,2008,Camry,front
Land Rover,53500.0,crossover,57,3.0,Diesel,yes,2013,Range Rover Sport,full
Daewoo,5600.0,sedan,145,1.6,Petrol,yes,2008,Lanos,front
Land Rover,78900.0,crossover,0,3.0,Diesel,yes,2015,Range Rover Sport,full
Skoda,13200.0,hatch,64,1.8,Petrol,yes,2012,Octavia A5,front
BMW,37200.0,other,115,3.0,Diesel,yes,2011,X5,full
Land Rover,27500.0,other,174,3.6,Diesel,yes,2008,Range Rover,full
Mazda,9200.0,sedan,124,2.0,Petrol,yes,2007,3,front
Mercedes-Benz,17500.0,van,220,3.0,Diesel,yes,2012,Vito ãðóç.,rear
Toyota,24000.0,sedan,16,2.5,Petrol,yes,2013,Camry,front
Land Rover,77777.0,crossover,42,2.99,Diesel,yes,2014,Range Rover Sport,full
Mazda,8000.0,sedan,167,2.0,Petrol,yes,2007,6,front
BMW,0.0,crossover,36,3.0,Diesel,yes,2013,X5,full
Lexus,85999.0,crossover,39,5.7,Gas,yes,2013,LX 570,full
Mercedes-Benz,2400.0,sedan,3,3.0,Diesel,yes,1998,E-Class,front
Toyota,195000.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Audi,4600.0,vagon,242,99.99,Diesel,no,2004,A6,front
Mitsubishi,18900.0,crossover,127,3.0,Gas,yes,2008,Pajero Wagon,full
Mercedes-Benz,114999.0,crossover,0,2.99,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,103333.0,crossover,0,3.0,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,0.0,crossover,1,3.0,Petrol,yes,2015,GLE-Class,full
Toyota,20800.0,crossover,107,4.0,Petrol,yes,2006,Land Cruiser Prado,full
BMW,24500.0,crossover,170,4.8,Gas,yes,2007,X5,full
Toyota,12300.0,sedan,157,2.4,Gas,yes,2007,Camry,front
Mercedes-Benz,20500.0,sedan,173,1.8,Gas,yes,2011,E-Class,rear
BMW,11500.0,sedan,193,4.4,Petrol,yes,2000,740,rear
Mercedes-Benz,13200.0,van,182,2.2,Diesel,yes,2011,Vito ãðóç.,rear
BMW,29900.0,crossover,235,3.0,Diesel,yes,2009,X5,full
Mercedes-Benz,12500.0,van,167,2.2,Diesel,yes,2013,Vito ãðóç.,rear
Skoda,13999.0,sedan,88,1.8,Petrol,yes,2012,Octavia A5,front
Ford,15500.0,crossover,68,2.5,Gas,yes,2010,Kuga,full
Lexus,79500.0,crossover,40,5.7,Petrol,yes,2014,LX 570,full
Land Rover,30000.0,other,155,3.6,Diesel,yes,2008,Range Rover Sport,full
Lexus,16600.0,sedan,179,3.0,Petrol,yes,2006,GS 300,full
Toyota,14300.0,sedan,71,2.4,Petrol,yes,2008,Camry,front
Lexus,0.0,crossover,11,5.7,Petrol,yes,2016,LX 570,full
Lexus,47000.0,crossover,1,5.7,Petrol,yes,2008,LX 570,full
Daewoo,3200.0,sedan,130,1.5,Petrol,yes,2003,Lanos,front
Mercedes-Benz,0.0,other,22,3.0,Diesel,yes,2015,S 350,full
Audi,24996.0,sedan,98,3.2,Petrol,yes,2009,A5,full
Mercedes-Benz,9200.0,other,280,2.4,Petrol,yes,2003,E-Class,rear
Audi,6800.0,sedan,225,2.4,Gas,yes,1998,A6,front
Ford,15500.0,crossover,68,2.5,Diesel,yes,2010,Kuga,front
Mercedes-Benz,38200.0,sedan,39,1.6,Petrol,yes,2015,C-Class,rear
Hyundai,10500.0,crossover,120,,Other,yes,2007,Tucson,full
Skoda,19200.0,sedan,75,1.8,Petrol,yes,2014,Octavia A7,front
Mercedes-Benz,125000.0,sedan,18,3.0,Diesel,yes,2015,S 350,full
Mercedes-Benz,0.0,sedan,62,3.0,Diesel,yes,2013,S 350,rear
Porsche,51900.0,sedan,78,4.8,Petrol,yes,2011,Panamera,
Porsche,87900.0,crossover,1,3.0,Diesel,yes,2016,Cayenne,full
Toyota,9000.0,sedan,232,2.4,Petrol,yes,2005,Camry,front
Nissan,11500.0,crossover,128,2.0,Petrol,yes,2008,Qashqai,
Infiniti,35999.0,crossover,98,3.7,Gas,yes,2012,FX 37,full
Lexus,21900.0,sedan,77,3.0,Petrol,yes,2008,GS 300,rear
Toyota,13900.0,sedan,139,2.4,Other,yes,2008,Camry,front
Lexus,22400.0,crossover,100,4.7,Gas,yes,2005,GX,full
Porsche,81000.0,crossover,35,4.8,Petrol,yes,2014,Cayenne,full
Mercedes-Benz,6200.0,other,340,2.4,Gas,yes,1998,E-Class,rear
BMW,66900.0,crossover,70,3.0,Diesel,yes,2014,X5,full
BMW,104999.0,crossover,2,3.0,Diesel,yes,2016,X5,full
Mercedes-Benz,38600.0,other,12,1.8,Petrol,yes,2012,E-Class,rear
Nissan,21850.0,crossover,64,2.0,Petrol,yes,2013,X-Trail,full
Mercedes-Benz,37500.0,other,94,5.5,Petrol,yes,2009,CL 55 AMG,rear
Nissan,17000.0,hatch,20,,Other,yes,2014,Leaf,front
Audi,39000.0,sedan,18,1.8,Other,yes,2015,A5,front
Lexus,44500.0,crossover,144,5.7,Gas,yes,2009,LX 570,full
Mercedes-Benz,24999.0,sedan,112,2.2,Diesel,yes,2012,C-Class,
Toyota,11300.0,hatch,87,1.0,Petrol,yes,2009,IQ,front
Nissan,25382.955,crossover,0,1.6,Diesel,yes,2016,Qashqai,full
Skoda,8100.0,sedan,135,1.8,Petrol,yes,2008,Superb,front
Mitsubishi,23000.0,crossover,125,3.0,Gas,yes,2008,Pajero Wagon,full
Nissan,14200.0,sedan,28,,Other,yes,2014,Leaf,front
Tesla,159600.0,sedan,0,,Other,yes,2016,Model S,full
Mercedes-Benz,0.0,vagon,200,2.2,Diesel,yes,2006,Vito ïàññ.,rear
Audi,1950.0,vagon,210,1.8,Gas,no,1996,A4,front
Land Rover,33000.0,crossover,140,5.0,Petrol,yes,2010,Range Rover Sport,full
Audi,0.0,crossover,65,3.0,Diesel,yes,2013,A6,full
Land Rover,51500.0,crossover,93,3.0,Diesel,yes,2013,Range Rover Sport,full
Skoda,22700.0,hatch,24,1.4,Petrol,yes,2014,Octavia A7,front
Nissan,17500.0,hatch,62,,Other,yes,2013,Leaf,front
Skoda,11900.0,sedan,109,1.8,Petrol,yes,2012,Octavia A5,front
Porsche,0.0,crossover,200,4.8,Petrol,yes,2007,Cayenne,full
BMW,28000.0,sedan,170,2.0,Diesel,yes,2011,520,rear
Subaru,12900.0,vagon,116,2.0,Petrol,yes,2008,Forester,full
Kia,16400.0,hatch,54,1.6,Diesel,yes,2013,Ceed,front
Toyota,24171.42,sedan,1,2.5,Petrol,yes,2016,Camry,front
Audi,1950.0,sedan,320,19.0,Other,no,1996,A4,
Mercedes-Benz,20300.0,sedan,198,1.8,Gas,yes,2011,E-Class,rear
Subaru,14000.0,crossover,171,99.99,Petrol,yes,2010,Forester,full
Volkswagen,9900.0,sedan,80,1.6,Petrol,yes,2011,Polo,front
Mercedes-Benz,110000.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
Nissan,16500.0,hatch,32,,Other,yes,2013,Leaf,front
Audi,25500.0,sedan,140,2.8,Petrol,yes,2012,A6,front
Renault,13300.0,other,132,1.5,Diesel,yes,2012,Megane,
Volkswagen,7000.0,van,345,1.9,Diesel,yes,2006,T5 (Transporter) ãðóç,front
VAZ,3600.0,other,80,2.0,Gas,yes,2002,2121,full
Honda,12990.0,sedan,111,1.8,Petrol,yes,2011,Civic,front
Porsche,0.0,sedan,14,3.6,Petrol,yes,2014,Panamera,full
Land Rover,147000.0,crossover,15,5.0,Petrol,yes,2015,Range Rover Sport,full
Honda,11900.0,sedan,109,2.4,Petrol,yes,2009,Accord,front
Volkswagen,12199.0,vagon,149,2.0,Diesel,yes,2008,Passat B6,front
Chevrolet,5200.0,sedan,179,1.5,Gas,yes,2008,Aveo,front
Renault,10500.0,vagon,185,1.5,Diesel,yes,2011,Megane,front
Toyota,24800.0,sedan,43,2.5,Gas,yes,2015,Camry,front
Kia,13300.0,hatch,35,1.6,Petrol,yes,2012,Ceed,front
Audi,2200.0,sedan,250,,Diesel,no,2001,A6,front
Audi,2300.0,vagon,250,2.5,Diesel,no,2001,A6,full
Audi,2350.0,vagon,250,,Diesel,no,2001,A6,front
Audi,2500.0,sedan,180,,Petrol,no,2000,A4,front
BMW,0.0,crossover,8,2.0,Diesel,yes,2016,X5,full
Mitsubishi,6200.0,sedan,152,1.6,Petrol,yes,2006,Lancer,front
Nissan,18200.0,crossover,65,3.5,Gas,yes,2009,Murano,full
Ford,12500.0,sedan,63,1.6,Petrol,yes,2013,Focus,front
Porsche,117777.0,hatch,9,4.8,Petrol,yes,2014,Panamera,full
Kia,8800.0,other,135,2.4,Gas,yes,2006,Sorento,full
Porsche,69900.0,sedan,40,3.0,Diesel,yes,2013,Panamera,rear
Opel,5350.0,sedan,180,1.4,Petrol,yes,2007,Astra G,front
Kia,42741.621,crossover,0,2.2,Diesel,yes,2016,Sorento,full
Volkswagen,16500.0,sedan,123,1.8,Petrol,yes,2010,Passat B6,front
Chevrolet,6700.0,sedan,80,1.5,Petrol,yes,2011,Aveo,front
Mercedes-Benz,111999.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
Audi,3700.0,vagon,273,2.5,Diesel,no,2003,A6,front
Porsche,0.0,crossover,13,3.0,Diesel,yes,2015,Macan,full
Alfa Romeo,5900.0,hatch,199,1.6,Petrol,yes,2002,147,front
Toyota,75500.0,crossover,50,4.6,Petrol,yes,2015,Land Cruiser 200,full
Mercedes-Benz,55000.0,crossover,40,4.6,Petrol,yes,2013,ML 500,full
Mitsubishi,9800.0,sedan,148,2.0,Gas,yes,2008,Lancer X,front
Subaru,6100.0,vagon,350,2.0,Petrol,yes,2005,Forester,full
Chevrolet,5500.0,sedan,121,1.5,Petrol,yes,2006,Aveo,front
Chevrolet,7799.0,sedan,199,1.6,Gas,yes,2012,Aveo,front
Honda,13900.0,hatch,63,1.8,Petrol,yes,2013,Civic,front
Kia,14500.0,crossover,106,2.5,Diesel,yes,2008,Sorento,full
Smart,8000.0,other,62,1.0,Petrol,yes,2011,Fortwo,rear
Renault,14700.0,crossover,61,1.5,Diesel,yes,2013,Duster,front
Lexus,135555.0,crossover,0,4.5,Diesel,yes,2016,LX 450,full
Hyundai,14500.0,crossover,102,2.2,Diesel,yes,2008,Santa FE,full
VAZ,4100.0,hatch,60,1.6,Petrol,yes,2013,2114,front
Porsche,54900.0,sedan,64,4.8,Petrol,yes,2011,Panamera,full
BMW,30500.0,sedan,73,2.0,Petrol,yes,2013,520,rear
Volkswagen,10700.0,sedan,195,3.2,Petrol,yes,2007,Passat B6,full
Nissan,17700.0,hatch,21,0.11,Other,yes,2014,Leaf,front
Renault,8700.0,vagon,123,1.5,Diesel,yes,2009,Megane,front
Mitsubishi,6200.0,sedan,170,,Other,yes,2005,Lancer,front
Honda,13200.0,sedan,145,2.0,Gas,yes,2008,Accord,front
Toyota,59900.0,crossover,90,4.5,Diesel,yes,2012,Land Cruiser 200,full
Ford,12099.0,sedan,109,1.6,Gas,yes,2011,Focus,front
Volkswagen,7300.0,van,240,1.9,Diesel,yes,2005,Caddy ïàññ.,front
Mercedes-Benz,24800.0,other,160,3.0,Diesel,yes,2007,S 320,rear
Tesla,80000.0,sedan,27,,Other,yes,2013,Model S,front
Ford,12300.0,hatch,71,1.6,Gas,yes,2013,Fiesta,front
Subaru,17000.0,crossover,134,2.0,Petrol,yes,2011,Forester,full
Tesla,58000.0,hatch,52,,Other,yes,2013,Model S,front
Land Rover,102999.0,crossover,39,5.0,Petrol,yes,2014,Range Rover,full
Peugeot,8500.0,van,135,1.6,Diesel,yes,2009,Partner ïàññ.,front
Hyundai,29999.0,crossover,52,2.2,Diesel,yes,2014,Santa FE,full
Suzuki,11500.0,crossover,101,2.0,Petrol,yes,2008,Grand Vitara,full
Kia,20500.0,crossover,98,2.0,Petrol,yes,2011,Sportage,full
BMW,89999.0,crossover,17,4.4,Petrol,yes,2015,X6 M,full
Renault,7800.0,vagon,120,1.5,Diesel,yes,2008,Megane,front
Lexus,16500.0,sedan,115,3.0,Petrol,yes,2007,GS 300,rear
Renault,10600.0,vagon,220,2.5,Other,yes,2006,Trafic ïàññ.,front
Audi,37800.0,other,126,3.0,Diesel,yes,2010,Q7,full
Volkswagen,8800.0,van,93,1.6,Diesel,yes,2012,Caddy ãðóç.,front
BMW,8500.0,sedan,284,1.9,Gas,yes,2000,316,rear
Toyota,25900.0,crossover,97,4.0,Petrol,yes,2009,Land Cruiser Prado,full
Land Rover,95000.0,crossover,60,5.0,Petrol,yes,2014,Range Rover,full
Toyota,36000.0,crossover,940,,Other,yes,2009,Land Cruiser 200,
Subaru,8000.0,crossover,210,2.0,Petrol,yes,2005,Forester,full
BMW,2550.0,sedan,280,1.6,Petrol,no,2000,316,rear
Nissan,18500.0,hatch,9,,Other,yes,2015,Leaf,front
Nissan,20999.0,hatch,12,,Other,yes,2015,Leaf,front
Nissan,14999.0,hatch,31,1.0,Other,yes,2013,Leaf,front
Mercedes-Benz,12600.0,sedan,123,3.2,Petrol,yes,2000,S 320,rear
Tesla,85500.0,sedan,1,,Other,yes,2016,Model S,full
Renault,18456.1611,crossover,1,1.5,Diesel,yes,2016,Duster,full
Mercedes-Benz,8200.0,sedan,280,2.4,Gas,yes,1997,E-Class,rear
Mazda,12500.0,sedan,89,2.0,Petrol,yes,2009,6,front
Peugeot,8300.0,vagon,135,2.0,Petrol,yes,2008,307,front
Audi,4150.0,sedan,220,2.5,Diesel,no,1999,A8,front
Audi,46000.0,sedan,170,4.2,Diesel,yes,2011,A8,full
Toyota,28700.0,crossover,100,3.5,Petrol,yes,2012,Highlander,full
Daewoo,3499.0,hatch,104,0.8,Petrol,yes,2008,Matiz,front
Skoda,7650.0,sedan,119,1.8,Gas,yes,2006,Octavia Tour,front
Audi,2411.0,sedan,240,1.6,Other,yes,1987,80,front
Volkswagen,8900.0,van,272,1.9,Diesel,yes,2005,Caddy ïàññ.,front
Renault,11500.0,vagon,230,1.5,Diesel,yes,2012,Megane,front
Volkswagen,4500.0,van,380,2.0,Diesel,yes,2004,Caddy ãðóç.,front
Hyundai,9600.0,sedan,98,1.4,Petrol,yes,2011,Accent,front
Ford,5900.0,hatch,138,1.4,Petrol,yes,2008,Fiesta,front
Mercedes-Benz,9900.0,sedan,275,2.2,Other,yes,2005,E-Class,rear
